Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on CrazySin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter 2240 | Loss: -1208.615 | lengthscale: 0.273 | outputscale: 2.648 | noise: 0.099
Iter 2250 | Loss: -1208.636 | lengthscale: 0.273 | outputscale: 2.644 | noise: 0.099
Iter 2260 | Loss: -1208.628 | lengthscale: 0.273 | outputscale: 2.640 | noise: 0.099
Iter 2270 | Loss: -1208.628 | lengthscale: 0.273 | outputscale: 2.636 | noise: 0.099
Iter 2280 | Loss: -1208.642 | lengthscale: 0.273 | outputscale: 2.632 | noise: 0.099
Iter 2290 | Loss: -1208.663 | lengthscale: 0.273 | outputscale: 2.628 | noise: 0.099
Iter 2300 | Loss: -1208.628 | lengthscale: 0.273 | outputscale: 2.624 | noise: 0.099
Iter 2310 | Loss: -1208.643 | lengthscale: 0.273 | outputscale: 2.620 | noise: 0.099
Iter 2320 | Loss: -1208.633 | lengthscale: 0.273 | outputscale: 2.616 | noise: 0.099
Iter 2330 | Loss: -1208.688 | lengthscale: 0.273 | outputscale: 2.612 | noise: 0.099
Iter 2340 | Loss: -1208.708 | lengthscale: 0.272 | outputscale: 2.609 | noise: 0.099
Iter 2350 | Loss: -1208.680 | lengthscale: 0.272 | outputscale: 2.605 | noise: 0.099
Iter 2360 | Loss: -1208.674 | lengthscale: 0.272 | outputscale: 2.601 | noise: 0.099
Iter 2370 | Loss: -1208.733 | lengthscale: 0.272 | outputscale: 2.598 | noise: 0.099
Iter 2380 | Loss: -1208.680 | lengthscale: 0.272 | outputscale: 2.594 | noise: 0.099
Iter 2390 | Loss: -1208.641 | lengthscale: 0.272 | outputscale: 2.590 | noise: 0.099
Iter 2400 | Loss: -1208.682 | lengthscale: 0.272 | outputscale: 2.587 | noise: 0.099
Iter 2410 | Loss: -1208.709 | lengthscale: 0.272 | outputscale: 2.583 | noise: 0.099
Iter 2420 | Loss: -1208.686 | lengthscale: 0.272 | outputscale: 2.579 | noise: 0.099
Iter 2430 | Loss: -1208.711 | lengthscale: 0.272 | outputscale: 2.576 | noise: 0.099
Iter 2440 | Loss: -1208.655 | lengthscale: 0.271 | outputscale: 2.572 | noise: 0.099
Iter 2450 | Loss: -1208.672 | lengthscale: 0.271 | outputscale: 2.569 | noise: 0.099
Iter 2460 | Loss: -1208.700 | lengthscale: 0.271 | outputscale: 2.565 | noise: 0.099
Iter 2470 | Loss: -1208.727 | lengthscale: 0.271 | outputscale: 2.562 | noise: 0.099
Iter 2480 | Loss: -1208.704 | lengthscale: 0.271 | outputscale: 2.558 | noise: 0.099
Iter 2490 | Loss: -1208.711 | lengthscale: 0.271 | outputscale: 2.555 | noise: 0.099
Iter 2499 | Loss: -1208.714 | lengthscale: 0.271 | outputscale: 2.552 | noise: 0.099
