Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Friedman with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter 2150 | Loss:  296.356 | lengthscale: 518.149 | outputscale: 1.378 | noise: 0.289
Iter 2160 | Loss:  296.266 | lengthscale: 522.014 | outputscale: 1.388 | noise: 0.289
Iter 2170 | Loss:  296.180 | lengthscale: 525.830 | outputscale: 1.397 | noise: 0.289
Iter 2180 | Loss:  296.094 | lengthscale: 529.597 | outputscale: 1.407 | noise: 0.289
Iter 2190 | Loss:  296.016 | lengthscale: 533.313 | outputscale: 1.417 | noise: 0.289
Iter 2200 | Loss:  295.935 | lengthscale: 536.980 | outputscale: 1.427 | noise: 0.289
Iter 2210 | Loss:  295.860 | lengthscale: 540.596 | outputscale: 1.437 | noise: 0.289
Iter 2220 | Loss:  295.785 | lengthscale: 544.161 | outputscale: 1.448 | noise: 0.289
Iter 2230 | Loss:  295.710 | lengthscale: 547.676 | outputscale: 1.458 | noise: 0.289
Iter 2240 | Loss:  295.635 | lengthscale: 551.140 | outputscale: 1.469 | noise: 0.289
Iter 2250 | Loss:  295.564 | lengthscale: 554.555 | outputscale: 1.481 | noise: 0.289
Iter 2260 | Loss:  295.505 | lengthscale: 557.920 | outputscale: 1.492 | noise: 0.289
Iter 2270 | Loss:  295.429 | lengthscale: 561.235 | outputscale: 1.504 | noise: 0.289
Iter 2280 | Loss:  295.367 | lengthscale: 564.502 | outputscale: 1.515 | noise: 0.289
Iter 2290 | Loss:  295.305 | lengthscale: 567.722 | outputscale: 1.527 | noise: 0.289
Iter 2300 | Loss:  295.244 | lengthscale: 570.895 | outputscale: 1.540 | noise: 0.289
Iter 2310 | Loss:  295.169 | lengthscale: 574.024 | outputscale: 1.552 | noise: 0.289
Iter 2320 | Loss:  295.114 | lengthscale: 577.108 | outputscale: 1.565 | noise: 0.289
Iter 2330 | Loss:  295.046 | lengthscale: 580.148 | outputscale: 1.577 | noise: 0.289
Iter 2340 | Loss:  295.001 | lengthscale: 583.145 | outputscale: 1.590 | noise: 0.289
Iter 2350 | Loss:  294.941 | lengthscale: 586.099 | outputscale: 1.604 | noise: 0.289
Iter 2360 | Loss:  294.891 | lengthscale: 589.014 | outputscale: 1.617 | noise: 0.289
Iter 2370 | Loss:  294.828 | lengthscale: 591.891 | outputscale: 1.631 | noise: 0.289
Iter 2380 | Loss:  294.773 | lengthscale: 594.729 | outputscale: 1.645 | noise: 0.289
Iter 2390 | Loss:  294.710 | lengthscale: 597.529 | outputscale: 1.659 | noise: 0.289
Iter 2400 | Loss:  294.667 | lengthscale: 600.293 | outputscale: 1.673 | noise: 0.289
Iter 2410 | Loss:  294.615 | lengthscale: 603.022 | outputscale: 1.688 | noise: 0.289
Iter 2420 | Loss:  294.568 | lengthscale: 605.718 | outputscale: 1.702 | noise: 0.289
